"CdNom","N_resample","estimate_E","estim_sd_E","z_value_E","estimate_B","estim_sd_B","z_value_B","AIC_null","AIC_envir","AIC_FA_E","AIC_FA_B","delta AIC"
"77490","1","0.185301197265101","0.312560839117212","0.592848412451352","0.185301197265101","0.312560839117212","0.592848412451352","588.175768115428","588.175768115428","589.81136050717","589.81136050717","-1.63559239174174"
"77490","2","0.224195364294758","0.312348075078303","0.717774118628887","0.224195364294758","0.312348075078303","0.717774118628887","588.175768115428","588.175768115428","589.637537085528","589.637537085528","-1.46176897009991"
"77490","3","0.267555015448297","0.312120939182227","0.85721584764324","0.267555015448297","0.312120939182227","0.85721584764324","588.175768115428","588.175768115428","589.401595316915","589.401595316915","-1.22582720148694"
"77490","4","0.185301197265139","0.312560839117192","0.592848412451511","0.185301197265139","0.312560839117192","0.592848412451511","588.175768115428","588.175768115428","589.81136050717","589.81136050717","-1.63559239174185"
"77490","5","0.330588457702837","0.311808644923452","1.06022864691258","0.330588457702837","0.311808644923452","1.06022864691258","588.175768115428","588.175768115428","588.976916588812","588.976916588812","-0.801148473383478"
"77490","6","0.128062965916415","0.312890267339243","0.409290346438184","0.128062965916415","0.312890267339243","0.409290346438184","588.175768115428","588.175768115428","590.004012498073","590.004012498073","-1.82824438264458"
"77490","7","0.116363588706576","0.312960085095228","0.371816069359673","0.116363588706576","0.312960085095228","0.371816069359673","588.175768115428","588.175768115428","590.034347704482","590.034347704482","-1.85857958905399"
"77490","8","0.267555015448263","0.312120939182233","0.857215847643116","0.267555015448263","0.312120939182233","0.857215847643116","588.175768115428","588.175768115428","589.401595316915","589.401595316915","-1.22582720148682"
"77490","9","0.246015620821826","0.312232475941714","0.787924510670538","0.246015620821826","0.312232475941714","0.787924510670538","588.175768115428","588.175768115428","589.524428531499","589.524428531499","-1.34866041607029"
"77490","10","0.202083417411882","0.312467963229968","0.646733237298809","0.202083417411882","0.312467963229968","0.646733237298809","588.175768115428","588.175768115428","589.740685303436","589.740685303436","-1.56491718800805"
"77490","11","0.213176550981003","0.312407468268195","0.682367013063835","0.213176550981003","0.312407468268195","0.682367013063835","588.175768115428","588.175768115428","589.690371491604","589.690371491604","-1.51460337617584"
"77490","12","0.116363588706505","0.312960085095241","0.371816069359428","0.116363588706505","0.312960085095241","0.371816069359428","588.175768115428","588.175768115428","590.034347704482","590.034347704482","-1.85857958905399"
"77490","13","0.246015620821825","0.312232475941721","0.78792451067052","0.246015620821825","0.312232475941721","0.78792451067052","588.175768115428","588.175768115428","589.524428531499","589.524428531499","-1.34866041607029"
"77490","14","0.116363588706507","0.312960085095239","0.371816069359439","0.116363588706507","0.312960085095239","0.371816069359439","588.175768115428","588.175768115428","590.034347704482","590.034347704482","-1.8585795890541"
"77490","15","0.15120496083782","0.312754675844144","0.483461871288441","0.15120496083782","0.312754675844144","0.483461871288441","588.175768115428","588.175768115428","589.935035618512","589.935035618512","-1.75926750308395"
"77490","16","0.0442550089408073","0.313409924131584","0.141204874298195","0.0442550089408073","0.313409924131584","0.141204874298195","588.175768115428","588.175768115428","590.155656735594","590.155656735594","-1.97988862016518"
"77490","17","0.116363588706509","0.312960085095242","0.371816069359442","0.116363588706509","0.312960085095242","0.371816069359442","588.175768115428","588.175768115428","590.034347704482","590.034347704482","-1.85857958905399"
"77490","18","0.162650976943895","0.312688826183162","0.520168817444791","0.162650976943895","0.312688826183162","0.520168817444791","588.175768115428","588.175768115428","589.896469210535","589.896469210535","-1.72070109510616"
"77490","19","0.156938211277217","0.312721592671093","0.501846418524345","0.156938211277217","0.312721592671093","0.501846418524345","588.175768115428","588.175768115428","589.916088425508","589.916088425508","-1.74032031007982"
"77490","20","0.24601562082175","0.312232475941721","0.787924510670279","0.24601562082175","0.312232475941721","0.787924510670279","588.175768115428","588.175768115428","589.524428531499","589.524428531499","-1.34866041607029"
"77619","1","-0.0415896481280501","0.158993308781077","-0.261581122167325","-0.0313474322949582","0.158602817462279","-0.19764738607127","1474.58060447979","1471.44516861584","1473.37697960594","1476.54164301077","-1.93181099010417"
"77619","2","-0.18148279417034","0.161165529351191","-1.12606458031652","-0.177204442693918","0.160832664389559","-1.10179386361905","1474.58060447979","1471.61591370819","1472.36553974752","1475.38333597385","-0.749626039329314"
"77619","3","-0.0175571597665248","0.162071061752724","-0.108330010161297","-0.0759705734017887","0.159250420035033","-0.47705100799782","1474.58060447979","1466.04813198894","1468.03641258596","1476.35444759869","-1.98828059701782"
"77619","4","-0.103475415088866","0.161981918339152","-0.638808430902844","-0.145346954001167","0.160317363952714","-0.906620159024303","1474.58060447979","1473.4440872388","1475.03925194833","1475.76808709177","-1.59516470953645"
"77619","5","0.0628235783299717","0.161003219785983","0.390200757559267","0.0049266197649656","0.158097912075275","0.0311618268723239","1474.58060447979","1467.50543810523","1469.35241105684","1476.57963301201","-1.84697295160709"
"77619","6","0.0628058748636743","0.160690421069796","0.390850148039594","-0.00226463694289927","0.158196500347556","-0.0143153416031574","1474.58060447979","1469.4754088242","1471.32186129957","1476.58039959063","-1.84645247536878"
"77619","7","-0.102653041587703","0.160018002914862","-0.641509328436752","-0.0911253998349914","0.159477154740134","-0.571400963250687","1474.58060447979","1468.99876839405","1470.59060829083","1476.25653038082","-1.59183989677649"
"77619","8","-0.124232040437597","0.162602389283933","-0.764023462291601","-0.16119296245113","0.160571640487551","-1.00386943772693","1474.58060447979","1469.33426170585","1470.75595836629","1475.58556989108","-1.42169666043674"
