"X","CdNom","N_resample","estimate_E","estim_sd_E","z_value_E","estimate_B","estim_sd_B","z_value_B","AIC_null","AIC_envir","AIC_FA_E","AIC_FA_B","delta.AIC"
1,79319,1,-0.0781633304606465,0.0393291691924914,-1.98741372028701,-0.0876531025628625,0.0363502135078896,-2.41135041872142,19559.4966398792,19417.1780006998,19415.2357598189,19555.6986589295,1.94224088083138
2,79319,2,-0.0762112457852972,0.0396421094324796,-1.92248209987675,-0.0922757209049925,0.0363609990720981,-2.53776637770663,19559.4966398792,19412.7008480091,19411.0117277551,19555.0757146955,1.68912025401369
3,79319,3,-0.0477884655350673,0.0396878047621712,-1.20410957021784,-0.0596216955534575,0.0362863847606988,-1.64308723359051,19559.4966398792,19412.6313078645,19413.1830701501,19558.8022488359,-0.551762285631412
4,79319,4,-0.0627877395152739,0.0392529555074196,-1.59956718426988,-0.0871912712921047,0.0363491400131644,-2.39871620788076,19559.4966398792,19419.370830755,19418.8163580603,19555.7591746577,0.554472694675496
5,79319,5,-0.041374134812333,0.0393192458644822,-1.05226165717758,-0.0678639544572694,0.0363048732577852,-1.86927947593693,19559.4966398792,19422.9560555867,19423.8500091936,19558.0102682425,-0.893953606981086
6,79319,6,-0.0297895241330007,0.0394643946992915,-0.754845585748602,-0.0413908125193568,0.0362463114374463,-1.14193171326657,19559.4966398792,19421.0952420887,19422.5258705197,19560.1944435789,-1.43062843102598
7,79319,7,-0.0524459881164471,0.0395144430019077,-1.32726122734199,-0.0674054159160603,0.0363038385978199,-1.8567021703349,19559.4966398792,19413.3929190297,19413.6335974043,19558.0569759296,-0.240678374579147
8,79319,8,-0.0525145133560299,0.0396837790661839,-1.32332440588501,-0.0913505692992285,0.0363588345799535,-2.51247242532891,19559.4966398792,19428.1198804972,19428.3710575904,19555.202892966,-0.251177093239676
9,79319,9,-0.0602215632028026,0.039381435702127,-1.52918658573817,-0.072453484606837,0.0363152688622768,-1.99512455440195,19559.4966398792,19419.964212818,19419.629271101,19557.5256188681,0.334941716973844
10,79319,10,-0.0854259860710436,0.0394973653339002,-2.16282745314466,-0.0941269699156307,0.0363653391648322,-2.58837046697087,19559.4966398792,19415.2826090202,19412.6141663709,19554.8174687925,2.66844264927568
11,79319,11,-0.0558853885854055,0.0396851678854215,-1.40821852503578,-0.0784312202339909,0.036328917150204,-2.15891984640534,19559.4966398792,19419.1896906707,19419.209390219,19556.8477029262,-0.0196995482547209
12,79319,12,-0.0565544166268396,0.0394831588645011,-1.43236808435019,-0.0885769994034235,0.0363523632526656,-2.43662286239199,19559.4966398792,19409.2061046609,19409.1573925751,19555.576658018,0.0487120858197159
13,79319,13,-0.0701440508647996,0.0392604004936622,-1.78663615202099,-0.0973697017712009,0.0363729700851814,-2.67697967867821,19559.4966398792,19427.0504567573,19425.8641705122,19554.3530444323,1.18628624511257
14,79319,14,-0.065043987128455,0.0400701366491568,-1.62325343928728,-0.0992244397312596,0.0363773511228108,-2.72764334589057,19559.4966398792,19437.8851957504,19437.2544426894,19554.0805092649,0.630753060991992
15,79319,15,-0.080202706513048,0.039617563985223,-2.02442296913972,-0.111311569464001,0.0364061949644327,-3.05748979185404,19559.4966398792,19418.4212680532,19416.331102501,19552.1818252131,2.09016555223207
16,79319,16,-0.0684967419856586,0.0394282510265107,-1.73725032691922,-0.0890390651114205,0.0363534395041167,-2.44926109677566,19559.4966398792,19425.8607762713,19424.8478125255,19555.5151726495,1.0129637457685
17,79319,17,-0.0723217705280484,0.0394207687640049,-1.83461086111759,-0.10247330699477,0.0363850540002788,-2.81635715021847,19559.4966398792,19419.5047598432,19418.1450275388,19553.5910386249,1.35973230442323
18,79319,18,-0.0718174204679045,0.0395837266795848,-1.81431680370166,-0.0950530684365001,0.0363675147767659,-2.61368061634023,19559.4966398792,19441.6654558207,19440.3795899517,19554.6863996601,1.28586586900201
19,79319,19,-0.0570002509708225,0.0395515663853582,-1.44116292172751,-0.0807337929937537,0.0363342071096635,-2.22197756373447,19559.4966398792,19389.5004119827,19389.4263534793,19556.5725187696,0.0740585033927346
20,79319,20,-0.0306503954328716,0.0395245650000066,-0.775477109814277,-0.0541401941142182,0.0362742172380086,-1.49252549707646,19559.4966398792,19415.9094219699,19417.3085294806,19559.2730253364,-1.39910751066782
21,79734,1,0.250162730253638,0.058280438852437,4.2923961311794,0.0654556881376409,0.0541940025216105,1.20780317179082,10467.5377008095,10222.9541023045,10206.199979686,10468.0705941958,16.7541226185749
22,79734,2,0.294536336190966,0.0592540471408156,4.97073787198044,0.0728086377612122,0.0541824115311077,1.34376886712417,10467.5377008095,10183.1496048741,10159.9166084519,10467.7205465071,23.232996422199
23,79734,3,0.219231753890469,0.0598558128482892,3.66266438392766,0.0106036062991361,0.0542834563239967,0.19533771460401,10467.5377008095,10205.1518073917,10193.536185456,10469.4995085999,11.6156219357108
24,79734,4,0.190479036515212,0.0582659173897095,3.26913305494188,0.0134202344705082,0.0542787306769807,0.247246652659836,10467.5377008095,10226.3880913145,10217.5553244351,10469.4764980975,8.83276687941179
25,79734,5,0.196548068732267,0.0593592056673881,3.31116406499103,-0.000221951333394427,0.0543017568700698,-0.00408736928945963,10467.5377008095,10211.478264075,10202.3633520775,10469.5376841033,9.11491199747434
26,79734,6,0.235581662076481,0.0592857003608723,3.97366752256437,0.0483764415696436,0.054221283954024,0.892203910380719,10467.5377008095,10218.2341932911,10204.1846723071,10468.7383099275,14.0495209840556
