"CdNom","N_resample","estimate_E","estim_sd_E","z_value_E","estimate_Eold","estim_sd_Eold","z_value_Eold","estimate_B","estim_sd_B","z_value_B","AIC_null","AIC_envir","AIC_envirold","AIC_FA_E","AIC_FA_Eold","AIC_FA_B","delta AIC","delta AIC old","Dist_lisiere_act","FORMATION","STRUCTURE","Altitude","I(Altitude^2)","exposition","I(exposition^2)","pH","I(pH^2)","Azote","I(Azote^2)","Pente","I(Pente^2)","phosphore","I(phosphore^2)","limons","argile","Dist_route"
"3842","1","-0.199158323472406","0.369945988283197","-0.538344325334186","-0.225304499893122","0.369662749670689","-0.609486620152645","-0.0945884185400528","0.344511385164975","-0.274558178954689","269.893951720558","253.965322186004","253.678302931377","255.675074125263","255.306049503579","271.818592997549","-1.70975193925966","-1.62774657220282",NA,"0.0144925643090896","0.0593571298968997",NA,NA,NA,NA,NA,"0.00313254410629122",NA,NA,NA,NA,NA,NA,NA,NA,"0.13046025433314"
"3842","2","0.0257960327560459","0.358885779488963","0.0718781134008103","-0.0336927264576448","0.363848275462775","-0.0926010338094674","-0.208693660715619","0.344606100336747","-0.605600598804504","269.893951720558","256.925752902633","255.496991834113","258.920586712243","257.488414642898","271.527738476644","-1.9948338096101","-1.99142280878525",NA,"0.0876158435057918","0.0574074353931501",NA,NA,NA,NA,NA,"0.00127119924167088",NA,NA,NA,NA,NA,NA,NA,"0.0640701485850821",NA
"3842","3","-0.0382747910420964","0.36466769193029","-0.104957998443726","-0.343440491916074","0.367965497645249","-0.933349713801647","-0.0870113768665065","0.344507629796146","-0.252567343480878","269.893951720558","252.266083866461","252.233188383526","254.25506233117","253.359179762946","271.830178371427","-1.98897846470922","-1.12599137941964",NA,NA,"0.00797469419926464",NA,NA,NA,NA,NA,"0.000207227906481789",NA,NA,NA,NA,"0.0664001674615441",NA,NA,NA,NA
"3842","4","-0.00436875379852065","0.354016315168936","-0.0123405436736324","-0.00436875379852065","0.354016315168936","-0.0123405436736324","0.0189041546144538","0.344487955607973","0.0548760974272397","269.893951720558","254.436739287839","254.436739287839","256.436586993691","256.436586993691","271.890940402839","-1.99984770585198","-1.99984770585198",NA,NA,"0.0180663952802614",NA,NA,NA,NA,NA,"8.10508348863707e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3842","5","-0.173756480372305","0.358640321470749","-0.484486740530864","-0.451958516674198","0.382045111261356","-1.18299777526799","-0.231654240477955","0.344633870086893","-0.672174909620892","269.893951720558","259.268554981743","258.891165974191","261.033761763593","259.485658291897","271.442948587471","-1.76520678185034","-0.594492317706226",NA,"0.0518042366472826","0.0762280857835653",NA,NA,NA,NA,NA,"0.0110996664756301",NA,NA,NA,NA,"0.108153851148708",NA,NA,NA,"0.138724568185357"
"3842","6","0.0495880717625319","0.360377605548152","0.137600314223482","-0.0462224394558543","0.367115857536799","-0.125906954186039","-0.0113422765891841","0.344487332169811","-0.0329250905040337","269.893951720558","259.577193168211","259.008694458855","261.55827023409","260.992831576675","271.892867675238","-1.98107706587962","-1.98413711781996",NA,"0.0458600648822173","0.11933586558799",NA,NA,NA,NA,"0.00417907011768674",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.109011142778795"
"3842","7","-0.173992521151488","0.361967661394607","-0.480685264758518","-0.542067515823508","0.392738371616037","-1.38022550124912","-0.170544489303119","0.344566440439027","-0.494953858785029","269.893951720558","252.183238075728","251.933601893009","253.951998407441","252.018693640635","271.649213984213","-1.76876033171288","-0.0850917476263646",NA,"0.0379495498309066","0.0245857418420067",NA,NA,NA,NA,NA,"0.000239401711297653",NA,NA,NA,NA,"0.149607800743207",NA,NA,"0.156306705506493","0.0797447032057689"
"3842","8","-0.294817904823523","0.357387245411192","-0.824925647484481","-0.417712979337088","0.365754609288257","-1.14205800481897","-0.170544489303161","0.344566440439028","-0.494953858785151","269.893951720558","256.121882938725","255.770713667685","257.440393522566","256.463416795732","271.649213984213","-1.31851058384098","-0.692703128047157",NA,NA,"0.0260455609912277",NA,NA,NA,NA,"0.000167384969776122",NA,NA,NA,NA,NA,NA,"0.125189075214206",NA,NA,NA
"3842","9","0.0782411809511574","0.359310515820018","0.217753662935791","0.049312738944988","0.359865402329341","0.137031063908328","-0.0491592358924158","0.344493569702198","-0.142700010147975","269.893951720558","253.818373170009","252.658039179087","255.770986988134","254.639268419489","271.873590299976","-1.95261381812503","-1.98122924040231",NA,"0.0290429658049197","0.0454025643258961",NA,NA,NA,NA,NA,"0.00124612598491346",NA,NA,NA,NA,NA,NA,NA,NA,"0.0754477461177773"
"3842","10","-0.110945121078693","0.361495998051754","-0.306905530563604","-0.260921861905889","0.372341468417491","-0.70075960922335","-0.277764635071429","0.344698556509483","-0.80581896798221","269.893951720558","251.816408230536","250.787207008456","253.722233735478","252.295295458981","271.246286504881","-1.9058255049423","-1.50808845052461",NA,"0.01132915010431","0.00708862962413127",NA,NA,NA,NA,NA,"0.000834738834153663",NA,NA,NA,NA,NA,NA,NA,"0.111490401703005","0.119787767199325"
"3842","11","0.0316054071988747","0.364749135451309","0.0866497110672213","-0.00814320848455811","0.368571552695863","-0.022093969067867","-0.0567259813242761","0.344495754493863","-0.164663803789451","269.893951720558","253.916976802949","253.264348494251","255.909470507074","255.263860310957","271.866840775626","-1.99249370412517","-1.99951181670588",NA,"0.0528311446259933","0.0833809328981579",NA,NA,NA,NA,NA,"0.000716630531831313",NA,NA,NA,NA,NA,NA,NA,"0.103378843309388",NA
"3842","12","-0.0756168485347248","0.35146495962497","-0.215147617035313","-0.168592619226445","0.355701349565336","-0.473972391255934","-0.11733670652723","0.344524548941759","-0.340575749645827","269.893951720558","255.982322557679","254.398112244492","257.936032395964","256.1734728991","271.778014760226","-1.95370983828485","-1.77536065460808",NA,NA,"0.0327223300042701",NA,NA,NA,NA,NA,"0.000200275613533787",NA,NA,NA,NA,"0.0583311344154196",NA,NA,NA,NA
"3842","13","-0.0338405721409446","0.36336170444633","-0.0931319171141301","-0.255574027947748","0.381593884601796","-0.669753993082061","-0.147716027374274","0.34454655790243","-0.428725883298782","269.893951720558","254.984234491499","253.691492125633","256.975557619775","255.240598789976","271.71028240892","-1.99132312827544","-1.5491066643429",NA,"0.0413530489350641","0.0340511094118109",NA,NA,NA,NA,NA,"0.00152031327900022",NA,NA,NA,NA,NA,NA,NA,"0.119347235736919","0.086789319057705"
"3842","14","-0.106842891096802","0.355963862714562","-0.300150948700308","-0.0987394228257723","0.379642348724346","-0.260085375505528","-0.109750863796153","0.344519844020015","-0.31856180623888","269.893951720558","251.06483380259","250.136045577342","252.97467474885","252.068242416104","271.792512246654","-1.90984094625966","-1.93219683876217",NA,"0.0704139334436856","0.0111542629499237",NA,NA,NA,NA,NA,"0.000152714437038408",NA,NA,NA,NA,NA,NA,NA,"0.0971645385876992","0.14092169794292"
"3842","15","-0.107267327887721","0.365560501024442","-0.293432489525307","-0.422537241298524","0.396700573233085","-1.06512889017243","-0.201052593108529","0.344597509996507","-0.583441804644981","269.893951720558","254.793304583101","253.953077121897","256.707146736312","254.807121745755","271.554011966388","-1.91384215321057","-0.85404462385813",NA,"0.0191579783597942","0.0205722216712356",NA,NA,NA,NA,"0.00112239136255554",NA,NA,NA,NA,NA,NA,NA,NA,"0.135272079456618","0.105924367492553"
"3842","16","0.140047516768242","0.352812027146347","0.396946549416101","-0.192091145698493","0.379755140302901","-0.50582895479776","0.109750863796223","0.344519844020019","0.318561806239079","269.893951720558","256.542492066404","254.837495495246","258.385165139652","256.580752535139","271.792512246654","-1.84267307324745","-1.74325703989257",NA,NA,"0.00731708726542588",NA,NA,NA,NA,NA,"0.000330419471064599",NA,NA,NA,NA,NA,"0.037896651382421",NA,"0.145541137648869","0.120400884618713"
"3842","17","-0.0239157377905286","0.362140914263786","-0.066039866937289","-0.207216495713095","0.380580340386333","-0.544475039101457","-0.117336706527232","0.344524548941759","-0.340575749645832","269.893951720558","258.961894998328","258.071033794523","260.957532571891","259.773333081566","271.778014760226","-1.99563757356293","-1.70229928704282",NA,"0.0828958253588405","0.100297080582004",NA,NA,NA,NA,NA,"0.00291337813310046",NA,NA,NA,NA,NA,NA,NA,"0.0890832949547462",NA
"3842","18","0.0285172434552439","0.365884230424594","0.0779406191465282","-0.0936634400601153","0.373721026967499","-0.250623950223333","-0.124925922976324","0.344529571907898","-0.362598549333583","269.893951720558","255.242288405659","253.552662306604","257.236215123664","255.489782274397","271.762544327574","-1.9939267180047","-1.9371199677928",NA,"0.0260845707765441","0.12798125520591",NA,NA,NA,NA,NA,"0.0011223802593436",NA,NA,NA,NA,NA,NA,NA,"0.104131950673357","0.0665780756324514"
"3842","19","0.0854869397886188","0.361781318858247","0.236294510889641","0.0854869397886188","0.361781318858247","0.236294510889641","-0.0340297485414908","0.34449013819275","-0.0987829396801203","269.893951720558","254.731156637863","254.731156637863","256.675369677042","256.675369677042","271.884194135629","-1.94421303917912","-1.94421303917912",NA,"0.0112749221123068","0.0896023768584207",NA,NA,NA,NA,NA,"0.00514495734074612",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3842","20","-0.286572571373984","0.369903967207322","-0.774721540667788","-0.466096910509123","0.387195552049024","-1.20377651045462","-0.363105832927479","0.344850098189395","-1.05293817468498","269.893951720558","250.15677173359","246.607251499321","251.555173856714","247.145764156822","270.790136393502","-1.39840212312342","-0.538512657501201",NA,"0.00784218831437151","0.00649002557915258",NA,NA,NA,NA,"0.000150306306817313",NA,NA,NA,NA,NA,NA,NA,NA,"0.0203722705296861","0.149857752422652"
"3853","1","1.37763702419569","0.428701834225418","3.21350858385015","0.985168150763566","0.457044470539118","2.15551924214614","1.02313163270161","0.396386640236269","2.58114560090059","264.489084952282","243.42854204307","234.267959706886","233.714847612788","231.308945787641","258.974150829267","9.71369443028206","2.95901391924468",NA,"0.000132490412426012",NA,NA,NA,NA,NA,NA,NA,"0.0166629750170563",NA,NA,NA,NA,"0.00140792712759009","0.0115743384938367","0.0541425608713351","0.0845171899061039"
"3853","2","1.38452330715499","0.427077616381274","3.24185406598073","1.2345304943609","0.465457525214557","2.65229462944406","1.0910629329628","0.396385343850797","2.75253096485192","264.489084952282","239.472347664324","230.280953352493","229.486261538918","224.518678027773","257.894693840612","9.98608612540596","5.76227532471984",NA,"0.00201343314791686",NA,NA,NA,"0.100720413892735",NA,NA,NA,"0.0114632444989378",NA,NA,NA,"0.0397022619912377","0.015959118868699","0.0170070876351762","0.0342507039916756","0.0248098110596647"
"3853","3","1.19509223301248","0.42242642370466","2.82911334601555","1.04584528844156","0.424920599622745","2.46127226914883","1.05332475504884","0.396383354644772","2.65733851511702","264.489084952282","248.535423003778","241.778802503484","241.59399573791","237.121076944651","258.503595593377","6.94142726586816","4.65772555883359",NA,"7.25248570504754e-05",NA,NA,NA,NA,NA,NA,NA,"0.11940746341536",NA,NA,NA,NA,"0.00761831211529775","0.0187719055797007",NA,NA
"3853","4","1.21365261043508","0.424801922271943","2.85698474231042","0.963477464116411","0.439625475877011","2.19158696887246","1.05332475504881","0.396383354644763","2.65733851511701","264.489084952282","240.074703899862","233.279080189857","232.949306334068","230.118326617101","258.503595593377","7.12539756579417","3.16075357275616",NA,"8.1190350837162e-07",NA,NA,NA,"0.0810041671378709",NA,NA,"0.13042907655869","0.00591181989131727",NA,NA,NA,NA,"0.00652073692199598","0.0267363788261367",NA,NA
"3853","5","1.27451245010867","0.425274784463002","2.99691516325851","1.09011375650457","0.440789148761071","2.47309571836912","0.970243943225058","0.39640285563513","2.44762097303891","264.489084952282","242.018579216383","234.970950892717","233.891366284212","230.311841223145","259.762758016413","8.12721293217086","4.65910966957199",NA,"2.77482510049339e-05",NA,NA,NA,NA,NA,NA,NA,"0.0184531280099424",NA,NA,NA,NA,"0.00264159386442538","0.0253273793217394","0.143156359042556",NA
"3853","6","1.2527942119533","0.41914173085936","2.98895127761369","1.2155061811102","0.467707436703179","2.59886006876044","1.05332475504883","0.396383354644771","2.657338515117","264.489084952282","242.626421604967","237.811665011767","234.520880459921","232.441524326472","258.503595593377","8.10554114504632","5.37014068529524",NA,"0.00177722517249953",NA,NA,NA,NA,NA,NA,NA,"0.0717556324625599",NA,NA,NA,"0.117511632777487","0.0612027985784774","0.00794162510673748","0.0277487936226488","0.0446490642837958"
"3853","7","1.15996253687597","0.429009749910558","2.70381392758045","0.988482411077957","0.459130207553246","2.15294571085986","0.848759492803268","0.396490830614198","2.14067874278068","264.489084952282","236.90909219332","229.515105584869","230.705448203575","226.481086732097","261.402321104231","6.20364398974493","3.03401885277239",NA,"3.17080576700283e-05",NA,NA,NA,NA,NA,NA,NA,"0.00424578079704387",NA,NA,NA,NA,"0.00320663615332564","0.01188230841715","0.0243435317805116","0.149421593217425"
"3853","8","1.23484426887883","0.434523806222604","2.84183340750317","0.970178593401123","0.4579569639198","2.11849293675339","1.09106293296277","0.396385343850787","2.75253096485193","264.489084952282","240.469727766904","228.14025744854","233.499948832427","225.356614902674","257.894693840612","6.96977893447735","2.78364254586674",NA,"1.24952700389886e-05",NA,NA,NA,"0.0208441414568642",NA,NA,NA,"0.0106693501300815",NA,NA,NA,"0.123960957824638","0.0509892743923487","0.125788135309836",NA,NA
"3853","9","1.16915919012734","0.421728411625103","2.77230359136124","0.951554335985933","0.429598512326027","2.21498517495746","1.1363795131909","0.396396685906818","2.86677349633046","264.489084952282","243.550771052819","237.690462216379","237.00696205724","234.38227092884","257.13311732455","6.54380899557839","3.30819128753902",NA,"5.566898650091e-06",NA,NA,NA,NA,NA,NA,NA,"0.0979209915256887",NA,NA,NA,NA,"0.00411117041886907","0.0862942048659712",NA,NA
"3853","10","1.10237728013653","0.428483975855802","2.57273863727291","1.00920755682885","0.434922116076476","2.32043283044129","0.992921298776219","0.396394270109794","2.50488307639058","264.489084952282","241.084759333908","234.940075011686","235.782848990305","231.08595813101","259.430176323051","5.30191034360362","3.85411688067623",NA,"2.85821474649171e-06",NA,NA,NA,NA,NA,NA,NA,"0.0291592079843047",NA,NA,NA,NA,"0.00989634417141147","0.029532562883029",NA,NA
"3853","11","1.43942348040528","0.430643722612854","3.34249265650927","1.11159723195678","0.477409452860981","2.32839384577597","1.18935028545421","0.39642235745948","3.00020991014812","264.489084952282","241.221796851289","228.980642300434","230.502789577671","225.19563146238","256.201035318375","10.7190072736175","3.7850108380533",NA,"1.76946602966778e-05",NA,NA,NA,"0.0291683006008632",NA,NA,"0.0985898685387424","0.0233885909117127",NA,NA,NA,"0.0614746353759801","0.0215422890223642","0.0411408115970778",NA,"0.0403871736654123"
"3853","12","1.08578588297342","0.432899694671663","2.50816966687154","0.65685846682549","0.473435275227373","1.38743034411626","1.0080294793102","0.396389911102453","2.54302506465575","264.489084952282","243.23696534683","225.435734895729","238.361435062114","225.434171799516","259.203969289208","4.87553028471638","0.00156309621272044",NA,"0.000714632467971282",NA,NA,NA,"0.0476519511684518",NA,NA,NA,"0.0632809392945542",NA,NA,NA,"0.00148879745788831","0.000358436414848088","0.0273494557408299","0.0696534725871312","0.0135431926728466"
"3853","13","1.14566731874736","0.419551914969116","2.73069262198862","0.993415184766001","0.423643182385755","2.34493372269456","1.03068098840526","0.396385412122909","2.60019909129671","264.489084952282","244.978032385425","240.14375879633","238.678649308789","236.132510715962","258.857880882212","6.29938307663645","4.01124808036764",NA,"3.78613169120334e-06",NA,NA,NA,NA,NA,NA,"0.142777882380728","0.05366019294589",NA,NA,NA,NA,"0.0120724309783746","0.0222957070714941",NA,NA
"3853","14","0.984810297839938","0.431315976028874","2.2832687694694","0.896009578244019","0.485372946773128","1.84602290712924","0.93239363591184","0.396422658594711","2.35201902741156","264.489084952282","236.448584383816","227.29487575617","232.759986986979","225.684611451308","260.299265471769","3.68859739683666","1.6102643048626",NA,"0.000739814602777249",NA,NA,NA,"0.0557538656625454","0.0397493497792856",NA,NA,"0.00156993259798954",NA,NA,NA,"0.00319297366527256","0.00125866807333287","0.00911246302248775","0.0505953139365931","0.0581288823815466"
"3853","15","1.03129458916519","0.422898727314361","2.43863252016498","0.951182017689579","0.426200384353441","2.23177184397088","0.955113117995343","0.396409949716292","2.40940753045909","264.489084952282","241.10383106686","237.166235604198","236.547503031879","233.710621110783","259.980019788949","4.55632803498102","3.45561449341534",NA,"1.49519477896378e-05",NA,NA,NA,NA,NA,NA,NA,"0.0191079299572582",NA,NA,NA,"0.0144136496202787",NA,"0.0599600301410308",NA,NA
"3853","16","1.03933338405281","0.41563409837513","2.50059701096698","0.899308269047433","0.431821261915947","2.08259376821163","1.04577733446177","0.396383769471313","2.63829504385764","264.489084952282","239.460067550466","232.357907686357","234.548262929857","229.693441948883","258.622606068618","4.91180462060865","2.66446573747405",NA,"4.31073895440647e-06",NA,NA,NA,"0.12519686135071",NA,NA,NA,"0.00675049319221983",NA,NA,NA,NA,"0.00215362309890662","0.0421105372637534","0.0914581906011063",NA
"3853","17","0.949162912293928","0.427615011439847","2.21966695953434","0.71772007913466","0.444430225200711","1.61492184472946","0.924813399669745","0.396427449149788","2.33286923408855","264.489084952282","242.204175756227","235.109444103679","238.849959086481","234.353774257467","260.40391596688","3.35421666974608","0.755669846212726",NA,"0.000184424075297852",NA,NA,NA,NA,NA,NA,NA,"0.0180225231082255",NA,NA,NA,NA,"0.0027412238284995","0.0770092888587128",NA,"0.0963339716176698"
"3853","18","1.07596695386086","0.426372592806649","2.52353685957668","0.909644687045194","0.433944467105201","2.09622372446258","1.00047625039487","0.396391954418786","2.52395700579197","264.489084952282","241.202765185103","233.226759218988","236.178909240113","230.48988298931","259.317522983194","5.02385594499043","2.73687622967753",NA,"3.26906129913815e-06",NA,NA,NA,NA,NA,NA,NA,"0.0603260252256987",NA,NA,NA,NA,"0.00270300891392394","0.0249517814820842",NA,NA
"3853","19","1.0519088296251","0.413168578227889","2.54595553741482","0.765697041394299","0.45276890486057","1.69114317077516","1.04577733446178","0.396383769471313","2.63829504385765","264.489084952282","241.388953376115","235.0993418316","236.173144550449","234.089162561073","258.622606068618","5.21580882566579","1.01017927052723",NA,"0.00159001742041054",NA,NA,NA,NA,NA,NA,NA,"0.0260164892527017",NA,NA,NA,"0.146253453895893","0.0667064607098893","0.0390023573500054","0.0638815211832159","0.0349927871957"
"3853","20","1.21288537793407","0.431359039872994","2.81177688612063","1.01452401794043","0.461098490031816","2.20023279163293","1.15149997814219","0.396402647187426","2.90487459231759","264.489084952282","239.294026030059","232.857837415308","232.56974121844","229.715378733163","256.871647952198","6.72428481161936","3.14245868214434",NA,"3.03296562438578e-05",NA,NA,NA,NA,NA,NA,NA,"0.0403223499367312",NA,NA,NA,NA,"0.00609098582204731","0.00905702624399619","0.132427588147635","0.0814657450880399"
"3865","1","-0.0606621501554367","0.27493338718419","-0.220643082954478","-0.189124350255488","0.28324822645708","-0.667698268127182","0.0315435604145271","0.267598944190868","0.117876251380231","397.103580499649","388.299198259055","383.262820487836","390.25053225309","384.816849617705","399.08968131528","-1.95133399403562","-1.55402912986841",NA,NA,NA,NA,NA,NA,NA,"0.00682677114322379",NA,"0.0866127426492033","0.0491798389531583",NA,NA,NA,NA,NA,"0.00798704050174645",NA
"3865","2","-0.109643009928356","0.274237310795398","-0.399810695380387","-0.220317220559922","0.280185219435765","-0.786327062518127","0.0315435604145267","0.267598944190868","0.117876251380229","397.103580499649","389.001505712595","386.11229526517","390.841759755371","387.49421699357","399.08968131528","-1.84025404277605","-1.38192172839933",NA,NA,NA,NA,NA,NA,NA,"0.0915574958464036",NA,NA,"0.0107108746638252",NA,NA,NA,NA,NA,"0.0238174359580268",NA
"3865","3","-0.12759183967954","0.277225648468125","-0.460245436829451","-0.263955374238114","0.284651023296953","-0.927294661304453","-0.0323529634271257","0.267644759684917","-0.120880242397471","397.103580499649","385.830081933075","378.781123652683","387.618465869174","379.921100112912","399.088975376413","-1.78838393609919","-1.13997646022932",NA,NA,NA,NA,NA,NA,NA,"0.0119576140111645",NA,"0.0808356625244284","0.0422370802622648",NA,NA,NA,NA,NA,"0.00262844539451958",NA
"3865","4","-0.105763609942138","0.27707744385215","-0.381711367304853","-0.141145841289981","0.279389784283706","-0.505193279173924","0.0235662741831358","0.267603032242968","0.0880643017592528","397.103580499649","388.687879135055","383.989220298579","390.542234245703","385.734015698271","399.095823404596","-1.85435511064827","-1.74479539969167",NA,NA,NA,NA,NA,NA,NA,"0.0256510161422883",NA,"0.0489069778505978","0.0237400894339944",NA,NA,NA,NA,NA,"0.009492727619644",NA
"3865","5","-0.0977851609153583","0.279336044854029","-0.350062810427696","-0.192727335113088","0.286570739095853","-0.672529706700531","0.0235662741831705","0.267603032242968","0.0880643017593825","397.103580499649","388.729738417169","381.334146663258","390.607186962776","382.881327479384","399.095823404596","-1.87744854560714","-1.54718081612566",NA,NA,"0.126167584849141",NA,NA,NA,NA,"0.0223246680392783",NA,"0.0494331293041527","0.0230120695551461",NA,NA,NA,NA,NA,"0.00217507787851105",NA
"3865","6","-0.0580015191070958","0.276648684413897","-0.20965767189523","-0.144099071521924","0.281787531621081","-0.511374902547829","0.0554642693695307","0.267589470199233","0.207273736624371","397.103580499649","385.832038520242","380.306421851205","387.788079811273","382.044701637499","399.060594396077","-1.95604129103157","-1.73827978629402",NA,NA,NA,NA,NA,NA,NA,"0.00774018076638933",NA,"0.0588706113700713","0.0299056795880315",NA,NA,NA,NA,NA,"0.00608277289770155",NA
"3865","7","-0.0582399671552302","0.274055718425386","-0.212511410051408","-0.114239750210387","0.278153404821824","-0.410707718223206","0.0235662741831382","0.267603032242968","0.0880643017592617","397.103580499649","390.926316628826","384.361750543902","392.881176829037","386.193154187076","399.095823404596","-1.95486020021082","-1.83140364317467",NA,NA,NA,NA,NA,NA,NA,"0.115165221568671",NA,"0.0179325907523563","0.00939436362145354",NA,NA,NA,NA,NA,"0.00278078932870591",NA
"3865","8","-0.197611080554805","0.275470759826072","-0.717357735824933","-0.272299561957089","0.280094235080696","-0.972171247575439","-0.0965108970712445","0.267720961499357","-0.360490626250332","397.103580499649","388.801739250038","386.027853248704","390.287790176348","387.083077220098","398.973820338177","-1.48605092631061","-1.05522397139464",NA,NA,NA,NA,NA,NA,NA,"0.0822009953598496",NA,"0.0554708174868833","0.0278150070701686",NA,NA,NA,NA,NA,"0.0288945350066265",NA
"3865","9","-0.15778668413962","0.274459037205904","-0.574900669134265","-0.262857224191362","0.281020398469511","-0.935367060978248","-0.0965108970712474","0.267720961499357","-0.360490626250344","397.103580499649","392.192843383074","389.004018449406","393.862913297435","390.130175939842","398.973820338177","-1.67006991436182","-1.12615749043619",NA,NA,NA,NA,NA,NA,NA,"0.117136535256741",NA,"0.038127359222685","0.0214556919398925",NA,NA,NA,NA,NA,"0.0227325817623577",NA
"3865","10","-0.165541012161721","0.272976763870474","-0.606428949536046","-0.2754802673515","0.278202694272899","-0.990214232365668","-0.0563744057106876","0.267669732246957","-0.210611805964955","397.103580499649","391.53106412108","386.462466783618","393.163843856343","387.483124988068","399.059259840685","-1.63277973526306","-1.02065820444943",NA,NA,NA,NA,NA,NA,NA,"0.0643773073641119",NA,NA,"0.0322896830203928",NA,NA,NA,NA,NA,"0.00784466453431657",NA
"3865","11","-0.139989111691536","0.275170377364928","-0.508736125712703","-0.258267993076943","0.283864857795532","-0.909827285711335","0.00760459914288492","0.267612608042575","0.0284164456918079","397.103580499649","387.48461384734","383.821023325695","389.225959058887","384.991997629153","399.102772968128","-1.74134521154673","-1.17097430345808",NA,NA,NA,NA,NA,NA,NA,"0.0218045939602932",NA,"0.154312308643753","0.0815612609262381",NA,NA,NA,NA,NA,"0.0119024867107733",NA
"3865","12","0.0334761095879352","0.277043695201345","0.120833320403144","-0.0308200366725234","0.281988423386314","-0.109295396961389","0.143128047844826","0.267590386329653","0.534877391553606","397.103580499649","386.040534748442","380.770675693224","388.025933810507","382.758728871101","398.817158298441","-1.98539906206412","-1.98805317787748",NA,NA,NA,NA,NA,NA,NA,"0.00613987681905913",NA,"0.0269824055291779","0.0127399799560692",NA,NA,NA,NA,NA,"0.00701213057332134",NA
"3865","13","-0.174647400922027","0.273237040266974","-0.639179083302112","-0.314799206901045","0.283894568069348","-1.10885956375237","-0.0563744057106743","0.267669732246961","-0.210611805964902","397.103580499649","388.005568517992","384.989420332364","389.597715502979","385.758155848895","399.059259840685","-1.59214698498698","-0.768735516530114",NA,NA,NA,NA,NA,NA,NA,"0.126294296544493",NA,NA,"0.00330522555987153",NA,NA,NA,NA,NA,"0.0246858186448442",NA
"3865","14","-0.0710596868085415","0.276298118895097","-0.257184837496201","-0.127643891212523","0.280564059281981","-0.454954535300027","0.0315435604145271","0.267598944190868","0.117876251380231","397.103580499649","389.612629955697","387.264071190021","391.546505389094","389.057064022564","399.08968131528","-1.93387543339725","-1.79299283254244",NA,NA,NA,NA,NA,NA,NA,"0.0228174428091501",NA,"0.103861258170355","0.0689200565813852",NA,NA,NA,NA,NA,"0.0370402791893673",NA
