"CdNom","N_resample","estimate_E","estim_sd_E","z_value_E","estimate_Eold","estim_sd_Eold","z_value_Eold","estimate_B","estim_sd_B","z_value_B","AIC_null","AIC_envir","AIC_envirold","AIC_FA_E","AIC_FA_Eold","AIC_FA_B","delta AIC","delta AIC old","Dist_lisiere_act","FORMATION","STRUCTURE","Altitude","I(Altitude^2)","exposition","I(exposition^2)","pH","I(pH^2)","Azote","I(Azote^2)","Pente","I(Pente^2)","phosphore","I(phosphore^2)","limons","argile","Dist_route"
"2440","1","-0.506444947767535","0.302910352484544","-1.67193013911064","0.0921805694553707","0.346696125160576","0.26588289503575","-0.393026453736828","0.291044684594385","-1.35039900929498","723.145013509918","515.491963394288","408.871304100075","514.89467151201","410.799907034818","723.438684682363","0.597291882277887","-1.92860293474337",NA,NA,NA,NA,"5.57492457734621e-13",NA,NA,NA,"4.35842268837923e-11","0.1425539308467","0.0815826923648762","5.13320232885872e-16",NA,NA,"0.0074380997315303","0.000507084959825467",NA,"0.0198455460282061"
"2440","2","-0.592331651293484","0.305537689555169","-1.93865330380634","-0.292212283381007","0.34603465660617","-0.844459587507678","-0.425999167972332","0.29107831736481","-1.4635207865326","723.145013509918","507.629856630885","401.478177637797","506.169875961865","402.783931160272","723.152445402461","1.45998066901996","-1.30575352247439",NA,NA,NA,NA,"8.70624146932469e-11",NA,NA,"0.0509770559099216","0.0818380586867935","0.0867626801305076","0.0505067514929093","1.07883404059512e-13",NA,"0.00285754777039789",NA,"0.000434201055654133","0.0126065277162656","0.00370635777761298"
"2440","3","-0.514914302030955","0.303605152821802","-1.69599987762124","-0.0365619160331141","0.345792675951855","-0.105733633404672","-0.402377484937954","0.291054100528433","-1.3824834771522","723.145013509918","514.795963486937","401.022366666035","514.124950994829","403.011228887235","723.359578001126","0.671012492107934","-1.98886222119961",NA,NA,NA,NA,"7.51010961470175e-12",NA,NA,"0.0758325364491732","0.12191479774819","0.0771451285587724","0.0464809491495909","6.63372055170549e-15",NA,"0.000697025614569912",NA,"0.000177722049182719","0.0301981911425929","0.00288839008776123"
"2440","4","-0.492553690031685","0.302401870696959","-1.62880503647836","-0.147666469087591","0.351180109619787","-0.420486425747363","-0.377254185597288","0.291029018649127","-1.2962768707684","723.145013509918","521.151715049853","408.471942754783","520.681488884363","410.297761856391","723.568359795929","0.470226165490772","-1.82581910160764",NA,NA,NA,NA,"3.15362503370666e-15",NA,NA,"9.65745480786495e-07",NA,NA,"0.0299925035234295","6.25380000782977e-14",NA,NA,"7.17701497922158e-05","4.28943519719584e-05","0.00783161295166873","0.00128158285626358"
"2440","5","-0.471695338257762","0.303457393533387","-1.55440384155895","-0.271873941434234","0.337766943051863","-0.804915777067291","-0.358894280100852","0.291011118772141","-1.23326655563928","723.145013509918","513.843796500507","414.223118759983","513.586475288571","415.593364471806","723.713319320549","0.257321211936073","-1.37024571182309",NA,NA,NA,"0.15710628694842","0.0047663296470316",NA,NA,"5.84437909709033e-11",NA,NA,NA,"6.96609658792712e-15",NA,NA,"0.011054029031162","0.00575941849947213",NA,"0.00788099758158082"
"2440","6","-0.511693260060475","0.304544417711382","-1.68019254434474","-0.120578697232983","0.342070706227505","-0.352496413863596","-0.419349405014435","0.291071437024312","-1.44070957048049","723.145013509918","505.109310720509","403.867469365789","504.48467734835","405.744749150756","723.211807438162","0.624633372158314","-1.8772797849665",NA,NA,NA,NA,"1.82804695357174e-10",NA,NA,"1.78026348458185e-10",NA,"0.0902312500739816","0.0523930439152932","3.0412376386458e-16",NA,NA,"0.00785577115081041","0.00494820077658305",NA,"0.0196907270158686"
"2440","7","-0.485950795948629","0.304155479456119","-1.59770521582446","-0.241818599865802","0.350628934092499","-0.689670977929073","-0.403315616744525","0.291055050474852","-1.38570217588227","723.145013509918","514.12296511314","408.80319444259","513.741542158185","410.338661915116","723.351550791708","0.381422954955497","-1.53546747252557",NA,NA,NA,NA,"1.38103861377203e-16",NA,NA,"1.28118731794553e-11",NA,NA,"0.0927519045734735","6.45928715775421e-17",NA,NA,"0.00757601694841545","0.00277857201906195",NA,"0.00337857010741525"
"2440","8","-0.564650528186297","0.303271010556813","-1.86186779656118","-0.406193814082842","0.341199217721348","-1.19048870274543","-0.489141062537086","0.291146182194246","-1.68005315697646","723.145013509918","515.238700526043","410.527145785701","514.045425029022","411.165696562493","722.548471730177","1.19327549702189","-0.63855077679284",NA,NA,NA,NA,"3.24408285422794e-13",NA,NA,"5.30330370558662e-10",NA,"0.10742641019911","0.0714221300782205","3.06380325647266e-16",NA,NA,"0.0151820553555125","0.000682318780298273",NA,"0.00968604125100228"
"2440","9","-0.439756558048487","0.30387833157876","-1.44714680959248","-0.139594574194218","0.345846930422447","-0.403631092008551","-0.415562099916666","0.291067540571401","-1.4277170827804","723.145013509918","510.796421797867","404.630134088801","510.829103427323","406.469559953399","723.245249094167","-0.0326816294553396","-1.83942586459852",NA,NA,NA,NA,"1.562201198686e-17",NA,NA,"3.22526009672977e-07",NA,NA,"0.0943765657304599","5.57057236577763e-12",NA,NA,"0.00117798835558063","4.50575621216963e-05","0.0671432222035303","0.00669015180765413"
"2440","10","-0.588812067273184","0.304297253399298","-1.93498975326125","-0.0895446424137011","0.344874144679897","-0.259644405923251","-0.410840701031117","0.291062705527607","-1.41151955653813","723.145013509918","516.580461574961","400.656899447101","515.138970832364","402.590107274294","723.286564134794","1.44149074259656","-1.93320782719348",NA,NA,NA,NA,"6.35302379036837e-11",NA,NA,"0.0838698297686016","0.136255170569428","0.024727777857755","0.0114378206075847","2.27726536471013e-14",NA,"0.00124743840817754",NA,"8.77463374063371e-05","0.0335117088297368","0.00157285767755366"
