"X","CdNom","N_resample","estimate_E","estim_sd_E","z_value_E","estimate_B","estim_sd_B","z_value_B","AIC_null","AIC_envir","AIC_FA_E","AIC_FA_B","delta.AIC"
1,79319,1,0.743230263469517,0.168685062538315,4.40602298914702,0.57630551389029,0.158412173711785,3.63801278895914,2834.15643947531,2672.4599513284,2652.4247129827,2821.17917712938,20.0352383457061
2,79319,2,0.78512759746062,0.169582028416343,4.62978067188254,0.60183146716568,0.158388339874569,3.79972078526917,2834.15643947531,2673.17041017228,2650.76493862135,2819.73148989052,22.4054715509287
3,79319,3,0.771529254841002,0.168273520009733,4.58497127056221,0.591552681513403,0.158397871264125,3.73459994627707,2834.15643947531,2665.70193084522,2643.7481483369,2820.32336365549,21.953782508318
4,79319,4,0.721991339144205,0.168229760507877,4.29169807389935,0.57958287253598,0.158409082654852,3.65877298714493,2834.15643947531,2674.06848808821,2655.22143303674,2820.99744526858,18.8470550514753
5,79319,5,0.764747872920811,0.16804361376295,4.55088923521723,0.608295728772263,0.15838239027977,3.84067779061647,2834.15643947531,2678.84220864099,2657.24641937462,2819.35307102903,21.595789266371
6,79319,6,0.816540945160152,0.167667838706793,4.86999147515743,0.629160188159398,0.158363416194045,3.97288845669052,2834.15643947531,2682.53647652938,2657.24120951148,2818.09882651307,25.2952670179002
7,79319,7,0.74583335007407,0.168190536176397,4.43445491660628,0.595345882615883,0.158394343642625,3.75863095186734,2834.15643947531,2674.48370340446,2654.16381907408,2820.10634793118,20.3198843303785
8,79319,8,0.791252783939567,0.168044138578467,4.70860091064763,0.610445785679821,0.158380418945758,3.85430086460932,2834.15643947531,2666.10480249492,2642.73256712265,2819.226143141,23.372235372266
9,79319,9,0.854502438515425,0.167713028078412,5.09502719201943,0.638717040963225,0.158354839096983,4.03345451648654,2834.15643947531,2674.49444834444,2646.44654278322,2817.50748084871,28.0479055612227
10,79319,10,0.803198709075676,0.16834640712741,4.77110692637347,0.635005873325294,0.158358161464718,4.00993461563251,2834.15643947531,2676.98890433623,2652.9164025924,2817.7383779247,24.0725017438267
11,79319,11,0.762442222972197,0.167828235843594,4.54299134552511,0.60937104950005,0.158381403876718,3.84749114848342,2834.15643947531,2673.76232739711,2652.23901303681,2819.28965625814,21.5233143603
12,79319,12,0.760910965553875,0.168940493957905,4.50401764388987,0.592637204892505,0.158396861443774,3.7414706294725,2834.15643947531,2681.27760612745,2660.22945844594,2820.26148362763,21.0481476815089
13,79319,13,0.795371183450322,0.168157899995188,4.72990673333268,0.629160188159874,0.158363416194057,3.97288845669322,2834.15643947531,2674.82030284144,2651.21921390311,2818.09882651307,23.6010889383278
14,79319,14,0.744006350272378,0.167459969897067,4.44289074415634,0.619022762466915,0.158372591950515,3.90864830109199,2834.15643947531,2673.85781332472,2653.40914392797,2818.71450724379,20.448669396751
15,79319,15,0.79729220407279,0.168083352811029,4.74343348546338,0.619557596394691,0.158372105828869,3.91203737016771,2834.15643947531,2683.22435615931,2659.44954748399,2818.6823221041,23.7748086753218
16,79319,16,0.805104250617517,0.167709042352533,4.80060132312452,0.617417397994636,0.158374052464648,3.89847571863108,2834.15643947531,2682.70294326242,2658.2328812528,2818.81091616646,24.4700620096251
17,79319,17,0.802947687346643,0.168391203353691,4.76834698817445,0.635005873324663,0.158358161464721,4.00993461562845,2834.15643947531,2680.01549093477,2655.97934402759,2817.7383779247,24.0361469071736
18,79319,18,0.778635605895977,0.168332120731036,4.62559137563587,0.648228914158301,0.158346371390405,4.09374025098488,2834.15643947531,2679.56387646322,2657.16038205849,2816.90833917283,22.4034944047316
19,79319,19,0.787717953288488,0.167363762777197,4.70662191275622,0.578491036952015,0.158410111396645,3.65185676502381,2834.15643947531,2675.06555193394,2651.67559182148,2821.05812331023,23.3899601124585
20,79319,20,0.770299498088525,0.168391848131886,4.5744464867754,0.599131745452746,0.158390834802788,3.78261624922127,2834.15643947531,2678.03337891841,2656.20391021992,2819.88811449253,21.8294686984891
21,79734,1,0.691662717089542,0.201086286670951,3.4396314564272,0.882249008677974,0.193212759418476,4.56620469234708,2360.06153217349,2221.73986693465,2210.14465983409,2336.39027684968,11.5952071005609
22,79734,2,0.639647967738895,0.202741098082419,3.15499902974217,0.848723497794679,0.193235820242791,4.39216443787856,2360.06153217349,2226.43392442157,2217.14886726777,2338.4895575984,9.28505715380788
23,79734,3,0.676225974074633,0.201512540885378,3.35575131504731,0.89330171786996,0.193205363627251,4.62358653558602,2360.06153217349,2221.27201243261,2210.39062678182,2335.675300245,10.8813856507904
24,79734,4,0.612242527397364,0.202046509257113,3.03020591470975,0.843887837113078,0.193239225517674,4.36706281994436,2360.06153217349,2217.09590953585,2208.72677105928,2338.78380811244,8.36913847657115
25,79734,5,0.589698576661883,0.2024792916368,2.91238956781646,0.826054751159796,0.193251958609781,4.27449614018031,2360.06153217349,2227.65240077634,2220.12391472447,2339.85050339733,7.5284860518741
26,79734,6,0.634415131289565,0.201849111178213,3.1430167196993,0.843887837113261,0.193239225517643,4.36706281994601,2360.06153217349,2219.73796745997,2210.52405493996,2338.78380811244,9.21391252000694
27,79734,7,0.621141407123734,0.202634176544996,3.06533388253884,0.826054751159016,0.193251958609797,4.27449614017594,2360.06153217349,2220.30587527293,2211.68968201558,2339.85050339733,8.61619325735683
28,79734,8,0.624330608413555,0.202166888537176,3.08819417923004,0.84227331728083,0.193240366951033,4.35868204232018,2360.06153217349,2222.68158802519,2213.89161295994,2338.88157524482,8.78997506524775
