"CdNom","N_resample","estimate_E","estim_sd_E","z_value_E","estimate_Eold","estim_sd_Eold","z_value_Eold","estimate_B","estim_sd_B","z_value_B","AIC_null","AIC_envir","AIC_envirold","AIC_FA_E","AIC_FA_Eold","AIC_FA_B","delta.AIC","delta.AIC.old","Dist_lisiere_act","FORMATION","STRUCTURE","Altitude","I.Altitude.2.","exposition","I.exposition.2.","pH","I.pH.2.","Azote","I.Azote.2.","Pente","I.Pente.2.","phosphore","I.phosphore.2.","limons","argile","Dist_route"
2506,1,-0.0246014760985001,0.270402401213281,-0.0909809823733614,-0.0033065445132905,0.275893004066708,-0.0119848798793427,0.315095501698852,0.260294130633712,1.2105363303111,754.286468376851,736.322870144521,725.87223298365,738.314607092947,727.872089379106,754.790144646341,-1.99173694842659,-1.99985639545582,1.65672899232901e-06,0.0383745165273507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0822641185489107,0.0345027375237843,NA,0.14906596164026,NA
2506,2,-0.102480435305462,0.275898705553119,-0.37144224761769,0.0207237812320094,0.276207556805125,0.0750297402131936,0.352006030416537,0.26029173441191,1.35235193392461,754.286468376851,732.948167126894,723.951417513842,734.811158484584,725.945780440578,754.415397482929,-1.86299135769082,-1.9943629267359,5.5658621325744e-07,0.0277532931277273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0525325858420306,0.02227746379121,NA,0.144373371364903,NA
2506,3,-0.0095322746726608,0.270635636184284,-0.0352218015596808,-0.0369367517150203,0.274778178943767,-0.134423890051981,0.331117643677024,0.260293018710158,1.27209575315476,754.286468376851,735.354411064399,726.567395767612,737.353171312239,728.549373064458,754.632678345563,-1.99876024783987,-1.98197729684568,1.04211600673986e-06,0.0283474348140408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126645069821706,0.0570896254571091,NA,NA,NA
2506,4,-0.0155274108502825,0.271196334893192,-0.0572552385576959,-0.051709506764641,0.276423699553578,-0.187066112088622,0.344009905375659,0.260292203970384,1.32162969204718,754.286468376851,735.012017564847,725.560638182826,737.008742976953,727.525771231583,754.500177250756,-1.99672541210668,-1.96513304875725,1.09750644573258e-06,0.0312879273971144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101396894397072,0.0433603058338674,NA,NA,NA
2506,5,-0.0407017575038645,0.270667372373967,-0.150375559295817,0.00443613374570296,0.276164271794622,0.0160633876238778,0.307967661182434,0.26029466077083,1.183150127899,754.286468376851,735.414158087033,725.713913263233,737.391610563852,727.713655152203,754.857634435331,-1.97745247681905,-1.99974188897068,1.15743098389413e-06,0.0348756329508462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0829954684920928,0.0367338443178817,NA,0.122630992430752,NA
2506,6,-0.0426224466337626,0.270940313415998,-0.157313048384648,-0.0316850763651746,0.276032850443616,-0.114787338949887,0.303510486921203,0.260295003393408,1.16602502147335,754.286468376851,735.714675005012,726.646336521495,737.690001600572,728.633188613186,754.899035682994,-1.97532659555998,-1.98685209169128,1.40148478481582e-06,0.042138387327432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072347810803717,0.0331172818220308,NA,0.125971145799498,NA
2506,7,0.0108230038382839,0.272650020529326,0.0396955915032464,-0.0093325223668503,0.277801257639702,-0.0335942408833665,0.374195943506382,0.260290574484642,1.43760850444649,754.286468376851,736.245320100214,725.863377431008,738.24374319708,727.862249570389,754.169693760017,-1.99842309686505,-1.99887213938041,1.35757256451271e-06,0.037011862827076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0915351871404658,0.0365229796143712,NA,NA,NA
2506,8,0.0390356711871108,0.270922778361357,0.144084123982536,0.0447276761998169,0.275818404579638,0.162163494013332,0.383063944553119,0.260290169687313,1.4716804134912,754.286468376851,735.485351703831,725.358139282036,737.464535932036,727.331761988771,754.06720735592,-1.9791842282051,-1.97362270673511,1.07993807038763e-06,0.0435309499456442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0809357454403346,0.0319980096204539,NA,NA,NA
2506,9,-0.105063222026742,0.275971007750907,-0.380703838721974,-0.0471021965231809,0.275515497936277,-0.170960243165976,0.330672860574425,0.260293048090203,1.27038683130651,754.286468376851,734.668241120696,725.638952650996,736.524363047282,727.609822225241,754.637157373051,-1.85612192658562,-1.97086957424506,1.07255859515022e-06,0.027280832549455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098922079943605,0.0422348832766586,NA,NA,NA
2506,10,-0.0201036279473881,0.27012013408319,-0.0744247666528874,0.0183387288507346,0.277086953422347,0.0661840213847311,0.331562411535993,0.260292989415899,1.27380461640563,754.286468376851,734.377393638722,725.530232775543,736.37186252372,727.525847172218,754.628193320041,-1.99446888499847,-1.99561439667502,7.2364391800331e-07,0.0676632796985403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0832932343037907,0.0354939412809267,NA,0.154959984743766,NA
2506,11,0.00376283920748099,0.271806392475543,0.0138438216011405,-0.0229769936036145,0.276246520543369,-0.0831756851033614,0.364436076197332,0.260291058758538,1.40010985369807,754.286468376851,735.015480417134,724.603661108068,737.015288716824,726.596754124345,754.279652819797,-1.99980829969002,-1.99309301627693,8.73191187219589e-07,0.0357898825455715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119958111285168,0.0486721171729438,NA,NA,NA
