"CdNom","N_resample","estimate_E","estim_sd_E","z_value_E","estimate_B","estim_sd_B","z_value_B","AIC_null","AIC_envir","AIC_FA_E","AIC_FA_B","delta AIC"
"60015","1","0.664800150006047","0.456364539460129","1.45673051370839","0.581615872232052","0.45084070218217","1.29006957317053","418.250643373792","418.159647167634","417.751814496172","418.376746605893","0.407832671462018"
"60015","2","0.532741834497992","0.450863351665839","1.18160376648408","0.532741834497992","0.450863351665839","1.18160376648408","418.250643373792","418.250643373792","418.693387228326","418.693387228326","-0.442743854534058"
"60015","3","0.520123580793301","0.450869403921969","1.15360141155934","0.520123580793301","0.450869403921969","1.15360141155934","418.250643373792","418.250643373792","418.769966190542","418.769966190542","-0.519322816750048"
"60015","4","0.558647264771899","0.450851192478246","1.23909457065228","0.558647264771899","0.450851192478246","1.23909457065228","418.250643373792","418.250643373792","418.529542259726","418.529542259726","-0.278898885933643"
"60015","5","0.559130245463804","0.457163518803756","1.22304213364807","0.513786324986884","0.450872476274065","1.13953801135241","418.250643373792","417.316266043762","417.651962761379","418.807634180742","-0.335696717616656"
"60015","6","0.494659488436227","0.450881884187676","1.09709328714198","0.494659488436227","0.450881884187676","1.09709328714198","418.250643373792","418.250643373792","418.918129323063","418.918129323063","-0.667485949270258"
"60015","7","0.593777868007473","0.457987962194632","1.29649230333948","0.510156503588202","0.450874246001968","1.13148290928548","418.250643373792","417.811271745347","417.931871465541","418.828971715534","-0.120599720194093"
"60015","8","0.566624879982686","0.450847518504114","1.25679937612325","0.566624879982686","0.450847518504114","1.25679937612325","418.250643373792","418.250643373792","418.477278041147","418.477278041147","-0.226634667354915"
"60015","9","0.527343123254766","0.450865930566923","1.16962291338288","0.527343123254766","0.450865930566923","1.16962291338288","418.250643373792","418.250643373792","418.72640906908","418.72640906908","-0.47576569528735"
"60015","10","0.551531669457241","0.450854497196066","1.223303023231","0.551531669457241","0.450854497196066","1.223303023231","418.250643373792","418.250643373792","418.575438702351","418.575438702351","-0.324795328558309"
"60015","11","0.561309678150419","0.450849962706134","1.24500327066963","0.561309678150419","0.450849962706134","1.24500327066963","418.250643373792","418.250643373792","418.512194895994","418.512194895994","-0.261551522201444"
"60015","12","0.533640301473076","0.45086292400035","1.18359765921374","0.533640301473076","0.45086292400035","1.18359765921374","418.250643373792","418.250643373792","418.687854181639","418.687854181639","-0.437210807846327"
"60015","13","0.517409931102847","0.450870716822345","1.14757936543198","0.517409931102847","0.450870716822345","1.14757936543198","418.250643373792","418.250643373792","418.78616053451","418.78616053451","-0.535517160717461"
"60015","14","0.591262730846699","0.450836375225183","1.31147964835663","0.591262730846699","0.450836375225183","1.31147964835663","418.250643373792","418.250643373792","418.310444272389","418.310444272389","-0.0598008985965635"
"60015","15","0.490183685963032","0.452783283232257","1.08260111209006","0.571044483660915","0.450845497129567","1.26660793397434","418.250643373792","418.193090014355","418.898963782968","418.447955033839","-0.705873768612662"
"60015","16","0.535435732222692","0.457913767928801","1.16929380534796","0.481810188187964","0.450888320308743","1.06857988217137","418.250643373792","417.381243482673","417.867664538514","418.989682263785","-0.486421055840879"
"60015","17","0.513786324988153","0.450872476274122","1.13953801135508","0.513786324988153","0.450872476274122","1.13953801135508","418.250643373792","418.250643373792","418.807634180742","418.807634180742","-0.556990806949955"
"60015","18","0.487326788924831","0.450885545534055","1.08082149395056","0.487326788924831","0.450885545534055","1.08082149395056","418.250643373792","418.250643373792","418.959224831567","418.959224831567","-0.708581457774585"
"60015","19","0.417302137082398","0.452649154576891","0.921910784241863","0.495574261012537","0.450881429566189","1.09912324730107","418.250643373792","418.045023657059","419.119657179218","418.912953498046","-1.07463352215922"
"60015","20","0.537230424908744","0.450861219436288","1.19156494670454","0.537230424908744","0.450861219436288","1.19156494670454","418.250643373792","418.250643373792","418.665638169306","418.665638169306","-0.414994795513735"
"60295","1","-0.306831558324441","0.204755621734928","-1.49852568503178","-0.17630270327565","0.193777673922911","-0.909819483878144","1242.63609788329","1202.06667799324","1201.88836672933","1243.82735620278","0.178311263913884"
"60295","2","-0.155908548542658","0.206372138601547","-0.755472854035198","-0.115465750777448","0.193711892860863","-0.596069498223239","1242.63609788329","1205.83958679602","1207.27742063587","1244.28611466688","-1.43783383985442"
"60295","3","-0.249491510031115","0.20373275499306","-1.22460185668041","-0.183683025084344","0.193786001647434","-0.947865292244013","1242.63609788329","1207.2675447882","1207.80579133326","1243.75918514567","-0.538246545058655"
"60295","4","-0.299482113674254","0.203574728057118","-1.47111636366881","-0.20504702826592","0.193810543728449","-1.05797664214396","1242.63609788329","1208.44199930688","1208.34317331665","1243.54680022418","0.0988259902221671"
"60295","5","-0.36945848174665","0.199748263754691","-1.84962049132191","-0.199452698754776","0.193804054178415","-1.02914616311979","1242.63609788329","1208.96554740837","1207.68890298265","1243.6045684934","1.27664442571972"
"60295","6","-0.309987116742057","0.203534526138641","-1.52301981694694","-0.195731483449809","0.19379976233468","-1.00996761343697","1242.63609788329","1208.40004327752","1208.1532027833","1243.64215001987","0.246840494223306"
"60295","7","-0.308526125056448","0.203071909614791","-1.5192949415884","-0.211592891702646","0.193818194321122","-1.09170809502061","1242.63609788329","1207.61525190925","1207.38052692283","1243.4772752063","0.234724986417859"
"60295","8","-0.322577072203111","0.202743936384111","-1.59105657094458","-0.213466956707293","0.193820396081423","-1.10136477389932","1242.63609788329","1209.66399287243","1209.21773987478","1243.45698782911","0.446252997650163"
