"CdNom","N_resample","estimate_E","estim_sd_E","z_value_E","estimate_B","estim_sd_B","z_value_B","AIC_null","AIC_envir","AIC_FA_E","AIC_FA_B","delta AIC"
"56585","1","-0.647450841745167","0.418336033076899","-1.54768126709791","-0.650587549683931","0.417768843688427","-1.55729073508684","273.755692954373","272.200460252113","271.597749571052","273.118153774865","0.602710681061069"
"56585","2","-0.826882040773232","0.423402796102162","-1.95294421384434","-0.711755326626642","0.417712729045747","-1.70393497045835","273.755692954373","272.880224867209","270.675150803647","272.577485740455","2.20507406356194"
"56585","3","-0.603759191528738","0.421686909705792","-1.43177124457095","-0.563788247693088","0.417862652089779","-1.34921904332325","273.755692954373","271.94602070051","271.734339400591","273.794928952905","0.211681299919462"
"56585","4","-0.648384098790194","0.418309069399225","-1.55001205142744","-0.658779519496985","0.417760859885962","-1.57692972883294","273.755692954373","272.362914894437","271.75213244963","273.048816946714","0.610782444806944"
"56585","5","-0.611677321547423","0.418385651041635","-1.46199402399332","-0.605309004186472","0.417815650644884","-1.44874660212512","273.755692954373","272.517506555778","272.203875348435","273.484348508599","0.313631207343576"
"56585","6","-0.560233363809153","0.421196231683533","-1.33010060790403","-0.538694516296366","0.417893002114848","-1.28907283340514","273.755692954373","270.4899314474","270.588745165812","273.97102086039","-0.0988137184120887"
"56585","7","-0.559833359029793","0.421686615028169","-1.32760523829383","-0.580440223923357","0.417843325404417","-1.38913365042164","273.755692954373","268.945877925483","269.052920660293","273.673255202862","-0.107042734810136"
"56585","8","-0.510372873221048","0.420856071437209","-1.21270169984276","-0.551259186118308","0.417877620055522","-1.3191881059461","273.755692954373","270.045929146192","270.47456152453","273.883939390342","-0.42863237833825"
"56585","9","-0.641674331215535","0.424277123869324","-1.51239436471048","-0.601173003203909","0.417820155505747","-1.43883198376637","273.755692954373","270.193587199572","269.71798810295","273.516365056362","0.475599096622545"
"56585","10","-0.588962512348748","0.418407526147319","-1.40762886789321","-0.60530900418647","0.417815650644883","-1.44874660212512","273.755692954373","272.468100605268","272.329106193597","273.484348508599","0.138994411671035"
"56585","11","-0.612681473434837","0.418333204545031","-1.46457767821987","-0.605309004186472","0.417815650644884","-1.44874660212512","273.755692954373","272.709685940163","272.387531572487","273.484348508599","0.322154367676319"
"56585","12","-0.681265589588734","0.42594421757546","-1.59942443512111","-0.625938417361676","0.417793757853096","-1.4981995436652","273.755692954373","269.763473265372","268.986814972902","273.321078717095","0.77665829246979"
"56585","13","-0.747593564709092","0.422992420623029","-1.76739234147022","-0.723918810301426","0.417702519575004","-1.73309658519174","273.755692954373","270.654360003919","269.23099621135","272.463635428564","1.42336379256881"
"56585","14","-0.655742376431473","0.418149321216671","-1.56820146096014","-0.66695978857983","0.417753033567709","-1.59654086263321","273.755692954373","273.52321714466","272.848335090812","272.978633069528","0.674882053848023"
"56585","15","-0.618017597989277","0.427855931568956","-1.44445256543013","-0.60944157990195","0.417811188219245","-1.45865308801196","273.755692954373","269.150485843614","268.904917676523","273.452119368824","0.245568167090937"
"56585","16","-0.544399178009955","0.418452230983607","-1.30098285467447","-0.530297721160489","0.417903490878609","-1.26894781387344","273.755692954373","272.742862040665","272.924566452937","274.028001170382","-0.181704412271927"
"56585","17","-0.541477587584599","0.418341685965388","-1.2943428918279","-0.534498182159544","0.417898222886622","-1.2790152072615","273.755692954373","273.147849171898","273.348579183239","273.999618540147","-0.200730011340966"
"56585","18","-0.700921916095561","0.425512585776982","-1.64724132616591","-0.621819149525503","0.417798053038333","-1.48832467026468","273.755692954373","268.991812288318","268.037219895581","273.354157324411","0.95459239273697"
"56585","19","-0.66392865619226","0.42474815125194","-1.56311135018561","-0.699569786135856","0.417723269350617","-1.6747206523194","273.755692954373","270.36655226721","269.718966140127","272.689429908867","0.647586127083002"
"56585","20","-0.739306824481355","0.420790075136269","-1.75694929173873","-0.691433361451974","0.417730482521505","-1.65521404442008","273.755692954373","270.487954359579","269.104514097276","272.763000764208","1.38344026230294"
"56611","1","0.206634438557794","0.152380936039109","1.35603864846164","0.201381485481762","0.149147512748992","1.35021685424066","1122.16563913706","1094.75415505314","1094.92381888565","1122.3511277461","-0.169663832508149"
"56611","2","0.189133364278837","0.152328568909336","1.24161452860105","0.211910742204401","0.149188674829782","1.42042110398917","1122.16563913706","1097.07867764763","1097.54391493513","1122.1580551372","-0.465237287501395"
"56611","3","0.082190856523331","0.151354752652632","0.543034527048938","0.0870169628183247","0.148764958221327","0.584929165165793","1122.16563913706","1104.25086744478","1105.95652164036","1123.82416879771","-1.70565419557465"
"56611","4","0.219416797442002","0.151231611784467","1.45086595886256","0.227751519113905","0.149252518008483","1.52594758301472","1122.16563913706","1108.6794275483","1108.58516293744","1121.84959051444","0.0942646108605913"
"56611","5","0.123850155336402","0.151544470519423","0.817252882351311","0.149085495552216","0.148958012965435","1.00085582899666","1122.16563913706","1094.50740764999","1095.84142513114","1123.16736384693","-1.33401748115057"
"56611","6","0.246344891177291","0.152110036062775","1.61951766992959","0.275633164788383","0.149459622597396","1.84419818542473","1122.16563913706","1096.51422689623","1095.90680302409","1120.78684635857","0.607423872143499"
"56611","7","0.187363694185943","0.153833693344484","1.21796265897597","0.17516289038181","0.149049410453586","1.1752001557655","1122.16563913706","1101.37130919621","1101.89283482759","1122.79015361679","-0.521525631378154"
"56611","8","0.233701859709003","0.153326200340426","1.52421346899696","0.28098853109796","0.149484117921173","1.87972163869699","1122.16563913706","1092.12038346624","1091.81001313908","1120.6559012791","0.310370327155169"
