"CdNom","N_resample","estimate_E","estim_sd_E","z_value_E","estimate_Eold","estim_sd_Eold","z_value_Eold","estimate_B","estim_sd_B","z_value_B","AIC_null","AIC_envir","AIC_envirold","AIC_FA_E","AIC_FA_Eold","AIC_FA_B","delta.AIC","delta.AIC.old","Dist_lisiere_act","FORMATION","STRUCTURE","Altitude","I.Altitude.2.","exposition","I.exposition.2.","pH","I.pH.2.","Azote","I.Azote.2.","Pente","I.Pente.2.","phosphore","I.phosphore.2.","limons","argile","Dist_route"
8268,1,0.621745651342161,0.131754100508085,4.71898520762934,0.819748445128554,0.137465466173098,5.96330458805063,0.35969759925053,0.124615667214952,2.88645567037795,3788.11562943978,3596.89376546694,3497.6198992581,3574.46071613664,3460.07932651638,3781.17813793482,22.4330493303073,37.5405727417228,2.52892824162059e-07,1.64550399056629e-20,6.43559052744882e-08,0.00370189596653193,NA,4.53001775083147e-15,NA,NA,NA,NA,2.51184164851869e-07,3.17166008526672e-07,3.82996291930332e-06,NA,0.0503863532422348,4.25932692946505e-06,0.00461199926096577,NA
8268,2,0.707647756912298,0.132894474737086,5.32488471256825,0.807561247814544,0.136700261018034,5.90753259577177,0.368616069671771,0.124605062759718,2.95827522179088,3788.11562943978,3557.77412362389,3492.30498807116,3528.40536892067,3455.50860017615,3780.71180147516,29.3687547032205,36.7963878950072,1.27762961366297e-09,8.26342771319108e-22,1.00020184791572e-07,0.0152469040189644,NA,7.68657025429762e-16,0.0572979117252903,NA,NA,NA,8.09427743352498e-08,1.1095288464839e-07,1.50366976480607e-06,NA,0.074346561370419,2.06141642347591e-05,0.00921958035200403,NA
8268,3,0.608199848330506,0.131878261628784,4.61182791476649,0.777381028796671,0.137833208660645,5.64001256555403,0.328711299383346,0.124653397221749,2.63700233374782,3788.11562943978,3582.50420471831,3474.39460254516,3561.22760856845,3441.28454369408,3782.70042975222,21.2765961498585,33.1100588510767,4.53422372427871e-09,2.71241601275017e-23,5.79859719250187e-10,0.00436653362689222,NA,3.30668222342627e-15,0.0283283696412135,NA,NA,NA,4.66802501916785e-08,2.61761940502905e-08,6.44634594661773e-07,NA,0.0305547459970548,1.56067329533324e-05,0.00225007407171692,NA
8268,4,0.687448481235215,0.131728028671677,5.21869558185397,0.878772614390799,0.136888058067023,6.41964410044108,0.389080466550185,0.124581153399758,3.12310855962054,3788.11562943978,3572.04411872464,3468.5544922575,3543.90123801769,3424.45179664087,3779.5935916951,28.1428807069497,44.102695616632,4.3122037724199e-10,4.27945093462786e-24,4.73647157019518e-09,0.0244161908896594,NA,7.23758462739649e-16,0.0486514298934021,NA,NA,NA,3.64172819931261e-07,2.874567984712e-08,9.96134067113818e-07,NA,0.0303171425987283,1.0359749276938e-05,0.0034576054465917,NA
8268,5,0.639754111003252,0.131853986057563,4.85198915961447,0.839965556827257,0.137517863089865,6.10804689626654,0.370283594016916,0.124603092502788,2.9717046870938,3788.11562943978,3590.43105685308,3483.54788481463,3566.57398647293,3444.04709738149,3780.6231997613,23.8570703801474,39.5007874331477,3.28982237498008e-09,7.61932977390772e-22,4.04164541097483e-09,0.00228013321245362,NA,6.38866273933726e-16,0.0605312055834074,NA,NA,NA,1.64096050744803e-08,7.68283013811622e-07,4.53153371255356e-06,NA,0.0231437808227448,1.10553193711013e-06,0.0183650548188247,NA
8268,6,0.652445352570877,0.131671749570845,4.95508987081419,0.818013924538812,0.136879882318816,5.97614427102969,0.403876894757057,0.12456422936708,3.24231841523997,3788.11562943978,3581.87549686217,3482.67983231985,3556.82480460181,3444.96836663399,3778.74298209703,25.050692260364,37.7114656858594,7.29937432948485e-09,2.990295646978e-23,2.37662618511151e-10,NA,NA,7.27319656352247e-16,0.0656639540600689,0.0087930417202647,NA,NA,4.50648729401936e-07,1.18427019321528e-07,1.2912823295662e-06,NA,0.0112194118164711,0.000496412439910199,0.000571074633115944,NA
8268,7,0.616578804594459,0.132294651608874,4.66064800878994,0.792754309547785,0.138309353998295,5.73174761236725,0.352420007150904,0.124624404491191,2.8278571006196,3788.11562943978,3570.9039816652,3462.77339477344,3549.146934669,3428.47670018269,3781.5492980843,21.7570469961979,34.2966945907483,4.51844321661224e-11,1.59430397281937e-23,8.05208803036728e-10,0.0141159277166454,NA,2.5200275722853e-17,0.155240142519831,NA,NA,NA,4.67581731702727e-08,1.46778428380967e-07,3.50491595848336e-06,NA,0.0222382176223462,4.1109190392874e-06,0.00237010610173106,0.133704170603016
8268,8,0.641440087505141,0.131890331549809,4.86343524932984,0.818467268342583,0.137772296497094,5.94072458072036,0.364162117848728,0.12461034459711,2.9224067955685,3788.11562943978,3576.66356901067,3470.75636496088,3552.67020020708,3433.64214526637,3780.94627866292,23.9933688035967,37.1142196945102,7.76248608968562e-11,1.49992399098106e-23,4.79263538714546e-08,0.0142735405918109,NA,4.9732587620476e-16,0.0469145930777277,NA,NA,NA,1.3853405806782e-07,4.77470836016778e-08,1.18558558364834e-06,NA,0.0217566221761534,1.12495731557104e-05,0.00881515808733232,0.144305734318095
8268,9,0.650516800661807,0.131500223697656,4.94688740725999,0.812645574516091,0.137659214167965,5.90331406021644,0.358020663758476,0.124617673792835,2.87295255048374,3788.11562943978,3587.55297483808,3481.84685340545,3562.59040331572,3445.18835246261,3781.26440804934,24.9625715223615,36.6585009428386,8.0580539839343e-10,1.18887217251959e-21,3.50811351968186e-07,0.0248027727868967,NA,9.06718121893416e-16,0.0928036117916863,NA,NA,NA,7.60167550616614e-07,5.62842750562982e-09,1.84222452828845e-07,NA,0.0320995358231094,2.92005848661423e-05,0.000923779503043103,NA
8268,10,0.628353153972236,0.132269582643692,4.750549154335,0.824449566394493,0.137423184532293,5.99934843018249,0.336082217533391,0.124644296293092,2.69633049829347,3788.11562943978,3584.29452255232,3487.33747800116,3561.57059781234,3449.35675613487,3782.35201892168,22.7239247399839,37.9807218662886,2.07632759072927e-10,1.16018409649961e-22,3.22710928435113e-08,0.0215482556111432,NA,3.74743783454547e-15,0.138998737053007,NA,NA,NA,7.5888450059108e-07,3.05265294427106e-07,5.10120279530456e-06,NA,0.00540763669665794,3.87402187669796e-06,0.00799273371495795,NA
